Year,Month,Sales
2013,Jan,123
2013,Feb,142
2013,Mar,164
2013,Apr,173
2013,May,183
2013,Jun,192
2013,Jul,199
2013,Aug,203
2013,Sep,207
2013,Oct,209
2013,Nov,214
2013,Dec,255
2014,Jan,223
2014,Feb,232.5
2014,Mar,233.8
2014,Apr,241.1
2014,May,240
2014,Jun,245.6
2014,Jul,245
2014,Aug,248.1
2014,Sep,248
2014,Oct,249.1
2014,Nov,250
2014,Dec,301
2015,Jan,258
2015,Feb,261.9
2015,Mar,261
2015,Apr,263.3
2015,May,267
2015,Jun,268.1
2015,Jul,269
2015,Aug,271
2015,Sep,271.2
2015,Oct,272.1
2015,Nov,273
2015,Dec,328
