Город;Год;Население
Москва;1926;2080
Санкт-Петербург;1926;1737
Новосибирск;1926;120
Екатеринбург;1926;140
Казань;1926;179
Нижний Новгород;1926;222
Челябинск;1926;59
Самара;1926;176
Омск;1926;162
Ростов-на-Дону;1926;308
Уфа;1926;99
Красноярск;1926;72
Воронеж;1926;122
Пермь;1926;121
Волгоград;1926;151
Москва;1939;4609
Санкт-Петербург;1939;3431
Новосибирск;1939;404
Екатеринбург;1939;423
Казань;1939;406
Нижний Новгород;1939;644
Челябинск;1939;273
Самара;1939;390
Омск;1939;289
Ростов-на-Дону;1939;510
Уфа;1939;258
Красноярск;1939;190
Воронеж;1939;344
Пермь;1939;306
Волгоград;1939;445
Москва;1959;6133
Санкт-Петербург;1959;3390
Новосибирск;1959;885
Екатеринбург;1959;779
Казань;1959;667
Нижний Новгород;1959;941
Челябинск;1959;689
Самара;1959;806
Омск;1959;581
Ростов-на-Дону;1959;600
Уфа;1959;547
Красноярск;1959;412
Воронеж;1959;447
Пермь;1959;629
Волгоград;1959;591
Москва;1970;7194
Санкт-Петербург;1970;4033
Новосибирск;1970;1161
Екатеринбург;1970;1025
Казань;1970;869
Нижний Новгород;1970;1170
Челябинск;1970;875
Самара;1970;1027
Омск;1970;821
Ростов-на-Дону;1970;789
Уфа;1970;780
Красноярск;1970;648
Воронеж;1970;660
Пермь;1970;850
Волгоград;1970;815
Москва;1989;8878
Санкт-Петербург;1989;4989
Новосибирск;1989;1420
Екатеринбург;1989;1296
Казань;1989;1085
Нижний Новгород;1989;1400
Челябинск;1989;1107
Самара;1989;1222
Омск;1989;1149
Ростов-на-Дону;1989;1008
Уфа;1989;1080
Красноярск;1989;869
Воронеж;1989;882
Пермь;1989;1041
Волгоград;1989;999
Москва;2002;10126
Санкт-Петербург;2002;4661
Новосибирск;2002;1426
Екатеринбург;2002;1294
Казань;2002;1105
Нижний Новгород;2002;1311
Челябинск;2002;1077
Самара;2002;1158
Омск;2002;1134
Ростов-на-Дону;2002;1068
Уфа;2002;1042
Красноярск;2002;909
Воронеж;2002;849
Пермь;2002;1002
Волгоград;2002;1011
Москва;2021;12655
Санкт-Петербург;2021;5384
Новосибирск;2021;1620
Екатеринбург;2021;1495
Казань;2021;1257
Нижний Новгород;2021;1244
Челябинск;2021;1188
Самара;2021;1145
Омск;2021;1140
Ростов-на-Дону;2021;1138
Уфа;2021;1126
Красноярск;2021;1093
Воронеж;2021;1051
Пермь;2021;1049
Волгоград;2021;1005
